"","Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"54",2018-05-15,10812.6,10929.2,10781.4,10801.85,262202312,13582.7
"55",2018-05-14,10815.15,10834.85,10774.75,10806.6,176697512,9075.44
"56",2018-05-11,10741.95,10812.05,10724.45,10806.5,209392114,10432.43
"57",2018-05-10,10779.65,10785.55,10705,10716.55,197988475,10526.38
"58",2018-05-09,10693.35,10766.25,10689.85,10741.7,222115640,10390.92
"59",2018-05-08,10757.9,10758.55,10689.4,10717.8,278118616,12783.49
"60",2018-05-07,10653.15,10725.65,10635.65,10715.5,173620240,9239.44
"61",2018-05-04,10700.45,10700.45,10601.6,10618.25,192296041,9721.56
"62",2018-05-03,10720.15,10720.6,10647.45,10679.65,190869804,11018.21
"63",2018-05-02,10783.85,10784.65,10689.8,10718.05,236757172,14820.58
"64",2018-04-30,10705.75,10759,10704.6,10739.35,179163468,10412.57
"65",2018-04-27,10651.65,10719.8,10647.55,10692.3,306671172,16886.89
"66",2018-04-26,10586.5,10628.4,10559.65,10617.8,345536167,19200.41
"67",2018-04-25,10612.4,10612.6,10536.45,10570.55,195129613,11125.11
"68",2018-04-24,10578.1,10636.8,10569,10614.35,225972673,12281.53
"69",2018-04-23,10592.8,10638.35,10514.95,10584.7,200203196,13642.67
"70",2018-04-20,10560.35,10582.35,10527.45,10564.05,252227268,15372.66
"71",2018-04-19,10563.65,10572.2,10546.2,10565.3,270740891,12559.11
"72",2018-04-18,10578.9,10594.2,10509.7,10526.2,211823044,9888.65
"73",2018-04-17,10557.3,10560.45,10495.65,10548.7,212449535,10501.71
"74",2018-04-16,10398.3,10540.15,10396.35,10528.35,200950876,11242.05
"75",2018-04-13,10495.3,10519.9,10451.45,10480.6,219724716,12354.55
"76",2018-04-12,10410.65,10469.9,10395.25,10458.65,246027888,12249.66
"77",2018-04-11,10428.15,10428.15,10355.6,10417.15,258077363,11790.58
"78",2018-04-10,10412.9,10424.85,10381.5,10402.25,259523888,11905.12
"79",2018-04-09,10333.7,10397.7,10328.5,10379.35,NA,NA
"80",2018-04-05,10228.45,10331.8,10227.45,10325.15,244116235,11674.92
"81",2018-04-04,10274.6,10279.85,10111.3,10128.4,238182921,11861.79
"82",2018-04-03,10186.85,10255.35,10171.05,10245,NA,NA
"83",2018-04-02,10151.65,10220.1,10127.75,10211.8,NA,NA
"84",2018-03-28,10143.6,10158.35,10096.9,10113.7,354977198,18807.48
"85",2018-03-27,10188,10207.9,10139.65,10184.15,232713976,11175.79
"86",2018-03-26,9989.15,10143.5,9958.55,10130.65,270665332,12695.47
"87",2018-03-23,9968.8,10027.7,9951.9,9998.05,294515154,14435.17
"88",2018-03-21,10181.95,10227.3,10132.95,10155.25,NA,NA
"89",2018-03-19,10215.35,10224.55,10075.3,10094.25,216670033,11111.43
"90",2018-03-16,10345.15,10346.3,10180.25,10195.15,338702439,18811.97
"91",2018-03-15,10405.45,10420,10346.2,10360.15,179308593,8588.01
"92",2018-03-14,10393.05,10420.35,10336.3,10410.9,186991169,9564.68
"93",2018-03-13,10389.5,10478.6,10377.85,10426.85,274852794,23965.25
"94",2018-03-12,10301.6,10433.65,10295.45,10421.4,223135459,10968.95
"95",2018-03-08,10216.25,10270.35,10146.4,10242.65,233377712,11479.51
"96",2018-03-07,10232.95,10243.35,10141.55,10154.2,257200599,12128.88
"97",2018-03-06,10420.5,10441.35,10215.9,10249.25,229782297,12143.95
